2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(pattern_learning, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(smart_filtering, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(created_at, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(updated_at, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<monitored_sources>, primary_key=True, nullable=False)])
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) constructed
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(id, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(type, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(identifier, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(name, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(added_at, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_active, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_announcements, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_alerts, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(is_stats, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(custom_format, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(emoji_style, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(include_stats, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(include_links, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(messages_per_minute, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(message_count, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_message, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(error_count, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_error, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(last_sent, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(total_sent, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(total_failed, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(average_latency, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(channel_settings, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(backup_channels, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(forward_to, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(created_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(updated_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<output_channels>, primary_key=True, nullable=False)])
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) constructed
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(id, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(type, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(identifier, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(name, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(added_at, Column)
